Date,From,To,Narrative,Amount
05/01/2013,Stephen S,Tim L,Sandcastle Help,10.57
18/01/2013,Laura B,Tim L,Jenkins Fees,7.17
22/02/2013,Chris W,Tim L,Lunch,8.77
01/04/2013,Rob S,Tim L,Coffee,4.77
08/04/2013,Tim L,Todd,Jenkins Fees,-4.27
24/04/2013,Ben B,Tim L,Fantasy Football,1.15
08/05/2013,Chris W,Tim L,Coffee,5.94
09/05/2013,Gergana I,Tim L,White Water Rafting,2.27
22/06/2013,Chris W,Tim L,Stationary Items,0.98
30/06/2013,Tim L,Laura B,Lunch,-6.51
01/07/2013,Tim L,Jon A,Misc Morale,-1.48
04/07/2013,Tim L,Chris W,Poker Winnings,-5.63
13/07/2013,Chris W,Tim L,Misc Morale,2.08
27/07/2013,Ben B,Tim L,Coffee,4.29
05/08/2013,Laura B,Tim L,Jenkins Fees,11.34
19/08/2013,Tim L,Sam N,Coffee,-7.51
05/09/2013,Dan W,Tim L,Lunch,10.58
10/09/2013,Tim L,Ben B,Misc Morale,-8.68
12/09/2013,Tim L,Laura B,Lego Assistance,-2.53
01/10/2013,Todd,Tim L,Coffee,10.13
09/11/2013,Rob S,Tim L,Stationary Items,11
15/11/2013,Jon A,Tim L,Sandbox Help,9.13
24/11/2013,Tim L,Sam N,Rails Consultancy,-7.59
09/12/2013,Laura B,Tim L,Rails Consultancy,9.39
12/12/2013,Chris W,Tim L,Coffee,11.44
13/12/2013,Rob S,Tim L,Misc Morale,9.19
