Date,From,To,Narrative,Amount
02/01/2012,Gergana I,Jon A,Snooker Night,9.22
03/01/2012,Sam N,Dan W,Coffee,6.98
07/01/2012,Stephen S,Sarah T,Lunch,10.67
08/01/2012,Rob S,Sarah T,Misc Morale,7.19
10/01/2012,Tim L,Chris W,Fantasy Football,10.73
13/01/2012,Tim L,Rob S,Automated Testing Services,10.1
15/01/2012,Sarah T,Sam N,Beers,1.79
18/01/2012,Dan W,Todd,Beers,11.1
19/01/2012,Chris W,Ben B,Coffee,10.89
21/01/2012,Chris W,Tim L,Pokemon Training,3.12
25/01/2012,Rob S,Tim L,Snooker Night,2.29
26/01/2012,Chris W,Rob S,Spline Reticulation,7.32
29/01/2012,Stephen S,Gergana I,Stationary Items,6.1
30/01/2012,Stephen S,Todd,Lunch,7.72
01/02/2012,Stephen S,Laura B,Misc Morale,5.2
03/02/2012,Sam N,Rob S,Pokemon Training,4.67
06/02/2012,Ben B,Chris W,Coffee,11.72
10/02/2012,Rob S,Jon A,Pokemon Training,6.45
14/02/2012,Todd,Ben B,Sandcastle Help,8.46
17/02/2012,Laura B,Todd,Lunch,10.36
21/02/2012,Chris W,Stephen S,Pokemon Training,3.88
24/02/2012,Sam N,Dan W,Beers,9.81
25/02/2012,Gergana I,Rob S,Lunch,3.67
27/02/2012,Dan W,Tim L,Lunch,0.63
02/03/2012,Tim L,Ben B,Jenkins Fees,2.61
04/03/2012,Rob S,Ben B,Coffee,4.85
08/03/2012,Stephen S,Gergana I,Lunch,3.14
12/03/2012,Gergana I,Chris W,Arcade Social,9.01
13/03/2012,Gergana I,Rob S,Lego Assistance,6.33
17/03/2012,Dan W,Stephen S,Misc Morale,11.84
19/03/2012,Jon A,Sarah T,Spline Reticulation,9.1
22/03/2012,Stephen S,Dan W,Coffee,8.41
26/03/2012,Stephen S,Tim L,Lunch,2.38
30/03/2012,Gergana I,Laura B,Snooker Night,1.9
31/03/2012,Sarah T,Gergana I,Sandcastle Help,1.89
01/04/2012,Laura B,Dan W,Stationary Items,3.8
03/04/2012,Dan W,Chris W,Fantasy Football,11.63
05/04/2012,Dan W,Todd,Misc Morale,7.32
06/04/2012,Sam N,Chris W,Audit and Other Financial Services,6.06
09/04/2012,Tim L,Chris W,Arcade Social,11.17
11/04/2012,Sarah T,Dan W,Lego Assistance,5.49
13/04/2012,Gergana I,Jon A,Git-Fu Rendered,0.8
14/04/2012,Sam N,Todd,Lunch,5.43
15/04/2012,Laura B,Dan W,Lunch,10.46
17/04/2012,Laura B,Rob S,Beers,11.7
21/04/2012,Stephen S,Ben B,Pokemon Training,11.09
24/04/2012,Todd,Dan W,Audit and Other Financial Services,8.44
28/04/2012,Laura B,Sam N,Fantasy Football,0.93
30/04/2012,Laura B,Ben B,Jenkins Fees,8.17
01/05/2012,Jon A,Tim L,Automated Testing Services,4.79
03/05/2012,Sarah T,Laura B,Snooker Night,8.24
07/05/2012,Gergana I,Ben B,Coffee,9.17
10/05/2012,Todd,Sam N,Pokemon Training,11.4
